title,genre,artists,song_desc,youtube_url
Sweet Disposition (Remix),House,"John Summit, Silver Panda, Temper Trap","This 2024 remix of an Australian indie rock anthem infuses the original with a driving 126 BPM progressive house rhythm in B minor, featuring a 4/4 time signature and a duration of 4 minutes and 11 seconds. The track is characterized by pulsating sub-bass, crisp percussion, and atmospheric synths, creating an uplifting and energetic atmosphere. Listeners have praised its explosive energy and club-ready appeal, with comments like ""extraordinary"" and ""tokio drift.""",https://www.youtube.com/watch?v=WStAm_BrkGI
Is Everybody Having Fun?,House,"John Summit, Gorgon City, rhys","Upbeat house track features driving 124 BPM tempo, uplifting major key, 4/4 time signature, 3:30 duration, with groovy bassline, rhythmic percussion, catchy vocal hooks, and dynamic build-ups. Celebrates joy and togetherness, blending deep house elements with energetic drops. Released in 2025, it showcases artists' signature styles, contributing to vibrant dance music scene.",https://www.youtube.com/watch?v=U9tetObVhQg
light years,House,"John Summit, Inéz","High-energy house track at 138 BPM in E minor, featuring deep, punchy basslines and bright, melodic synths. 's commanding vocals add depth, creating an infectious groove. Blends euphoric builds with deep basslines, alternating tension and release. Summit's signature rhythms infused with stutter house vibes. Tested at major events like Ultra Miami and The Sphere in Las Vegas. Released under Experts Only label.",https://www.youtube.com/watch?v=FNHfPqti1V8
Hungover,House,"John Summit, Mathame, Camden Cox","A 136 BPM deep house track in D minor, this 3:40-minute song features ethereal vocals from, blending uplifting trance beats with melancholic melodies. Its 4/4 time signature and energetic tempo create a dancefloor-ready atmosphere, capturing the bittersweet aftermath of a night out. The collaboration between and showcases their signature house/electro production style, marking a significant release in the electronic music scene.",https://www.youtube.com/watch?v=VaGQQrhXxmE
Fade Out,House,"John Summit, MKLA","Energetic house track featuring ethereal vocals, pulsating bassline, and expansive synths, blending trance and electro-pop elements into a euphoric, uplifting atmosphere. Notable for its entrancing vocal performance and cinematic breaks, creating a captivating listening experience. Released as the final single under Off The Grid Records, marking a significant moment in the artist's career.",https://www.youtube.com/watch?v=ScCqgbx9u18
Palm of My Hands,House,"John Summit, Venbee","Liquid drum and bass track featuring mellow vocals over lo-fi electronic synths, characterized by a tempo of 170 BPM, set in E major, and a 4/4 time signature; original version is 2:11 minutes long, with an extended remix by Odd Mob; released as part of 's debut album ""Comfort In Chaos"" in 2024; received positive reviews for its light, airy, and lively feel, appealing to liquid drum and bass enthusiasts.",https://www.youtube.com/watch?v=d2jQjvNtawA
Tears,House,"John Summit, Paige Cavell","A 3:56 progressive house track at 170 BPM in D♭ minor, featuring 's emotive vocals over deep sub-bass and crisp programmed drums, with a dynamic 4/4 rhythm; released July 12, 2024, as part of 's debut album ""Comfort In Chaos, "" exploring themes of love and heartbreak.; DJ‑friendly intro/outro; 8‑bar phrasing; filter sweeps; reverb throws",https://www.youtube.com/watch?v=WvykfdsLmO0
Resonate,House,"John Summit, Kaskade, Julia Church","A 130 BPM house track in G major, featuring 's evocative vocals over atmospheric synths and a pulsating bassline, building to an emphatic beat drop. Celebrated for its fusion of emotional melodies and heavy techno production, it has become a festival favorite, with live performances at Coachella and EDC Las Vegas. Listeners praise its captivating energy and dancefloor appeal.",https://www.youtube.com/shorts/wEtINjVUaPo
Good Things Fall Apart,Future Bass/Pop,"Illenium, Jon Bellion","A dynamic fusion of future bass and pop-rock, this track features glitchy beats, delicate acoustic guitar, and ethereal percussion, building to a powerful crescendo. 's emotive vocals soar over the production, delivering introspective lyrics that explore themes of heartbreak and self-doubt. The song's anthemic quality is enhanced by its cinematic music video, depicting a dystopian escape from a crumbling Earth. Released in 2019, it achieved significant chart success, peaking at number four on",https://www.youtube.com/watch?v=J9Zjgb03FMQ
Crawl Outta Love,Future Bass,"Illenium, Annika Wells","A deep, earth-shattering ballad in G Major at 85 BPM, featuring emotive vocals over piano melodies and future bass breakdowns. The track's chord progression is C–G–D–Am. It won the International Songwriting Competition's grand prize in 2017. The accompanying music video, released in January 2018, features breathtaking drone shots and thematic elements that fans will recognize from Miller's album and single artwork.",https://www.youtube.com/watch?v=gbxxpSNE5o4
Takeaway,Future Bass/EDM,"The Chainsmokers, Illenium, Lennon Stella","Future bass track featuring emotive vocals, melancholic piano, lush acoustic guitar, and skittering synths, blending soft melodies with hard-hitting drums; released July 24, 2019, as part of ' 'World War Joy' and 's 'Ascend' albums; reached number one on Billboard's Dance/Mix Show Airplay Chart in November 2019; music video filmed at New York City's Vessel; remixed by artists including Andrew Rayel, Sondr, Ship Wrek, Pilton, Owen Norton, and DCB.",https://www.youtube.com/watch?v=NgpMP5SfMJM
Fractures,Future Bass,"Illenium, Nevve","A melodic future bass track featuring ethereal vocals, warm guitar licks, and orchestral strings, building from a gentle introduction to a powerful, bass-driven climax. The song's introspective lyrics explore themes of transformation and finding the courage to break free from constraints. It has been praised for its emotional depth and has become a fan favorite in live performances.",https://www.youtube.com/watch?v=ZCu2gwLj9ok
Hearts on Fire,Future Bass,"Illenium, Dabin, Lights","A 3:56 melodic dubstep track blending rock and pop elements, featuring emotive vocals and guitar riffs, swelling synths, and powerful drum crashes. Released on December 25, 2020, it achieved #1 on both Billboard Dance/Mix Show Airplay and Mediabase Dance Radio charts. The accompanying music video portrays two separated lovers reuniting in a dystopian setting, symbolizing hope and reconnection.",https://www.youtube.com/watch?v=Sqq1KZF03-I
Nightlight,Melodic Bass,Illenium,"A melodic bass track featuring ethereal vocals, dynamic percussion, and emotive synths, blending organic elements with modern production techniques. The song's structure builds from intimate verses to powerful drops, creating an uplifting atmosphere. Its themes of resilience and hope are underscored by cinematic soundscapes and a memorable guitar melody. The accompanying music video enhances the narrative with captivating visuals.",https://www.youtube.com/watch?v=klp-RReW0jY
In Your Arms,Future Bass,"Illenium, X Ambassadors","A 148 BPM future bass track in D major, blending warm synths with ' emotive vocals, featuring a dynamic drop and atmospheric build-ups, exploring themes of love and acceptance.; focused arrangement; clear motif development; dynamic contour with defined peaks; layered textures; tasteful automation; tight low‑end management; polished master",https://www.youtube.com/watch?v=mt1mXwBLsSE
Feel Good,Future Bass/Pop,"Gryffin, Illenium, Daya","Energetic future bass track featuring 's soaring vocals over dynamic synths and guitar riffs, blending electronic and organic elements. Released March 3, 2017, through Darkroom/Interscope Records. Peaked at number 6 on New Zealand Heatseekers chart. Certified Platinum by RIAA and ARIA. 's production incorporates real guitar and piano for an organic feel.",https://www.youtube.com/watch?v=L2OR9XoFFWw
Don’t Let Me Down (Remix),Future Bass/Remix,"The Chainsmokers, Illenium","This remix features emotive vocals over a dynamic arrangement blending future bass and chill trap elements. The track is set in B major, with a tempo of 80 BPM, and follows a 4/4 time signature. It has a duration of 3 minutes and 38 seconds. The remix is characterized by uplifting melodic basslines, soaring synths, and euphoric drops, creating an emotionally resonant atmosphere. It has garnered significant popularity, amassing over 144 million streams on Spotify since its release.",https://www.youtube.com/watch?v=yHd_aD8Hmfw
Beautiful Creatures,Future Bass,"Illenium, MAX","Uplifting electronic track at 117 BPM in C minor, featuring 's soulful vocals over warm synths and rhythmic programmed drums. Characterized by euphoric melodies and dynamic drops, it blends future bass and melodic dubstep elements. Celebrates human resilience and inner strength, resonating with listeners seeking empowerment. Part of 's 2017 album ""Awake, "" it showcases his signature emotive production style.",https://www.youtube.com/watch?v=omT5rKmU5_k
Good Things Fall Apart,Future Bass/Pop,"Illenium, Jon Bellion","A fusion of glitchy beats, delicate acoustic guitar, and ethereal percussion, this track features dynamic vocals that transition from intimate verses to an explosive chorus, channeling early 2000s pop-punk and emo influences. The song's introspective lyrics explore themes of heartbreak and self-doubt, set against a backdrop of melancholic melodies and bright synth work. Its cinematic music video depicts a dystopian future, adding a visual narrative to the song's emotional depth.",https://www.youtube.com/watch?v=aha8QskUYhU
Ascend,Future Bass/EDM,"Illenium, various collaborators","Uplifting future bass track featuring ethereal vocals, soaring melodies, and dynamic drops; collaborations with artists like Jon Bellion, X Ambassadors, and The Chainsmokers; incorporates elements of rock, dance-pop, and dubstep; notable for its emotive themes and immersive production; received acclaim for its cohesive vision and innovative soundscapes.",https://www.youtube.com/watch?v=vz1owwBQvTY
Starfall,Melodic Bass,Illenium,"A 4:16 track in D♯ minor at 146 BPM, featuring lush synths, emotive background vocals, and a dynamic drop, blending cinematic imagery inspired by gaming and anime.; layered textures; tasteful automation; tight low‑end management; polished master; contrast between sparse verses and dense climaxes; ear‑catching transitions",https://www.youtube.com/watch?v=asE3ZKMaI88
Reverie,Future Bass,"Illenium, King Deco","A 2016 electronic track blending ethereal vocals with uplifting melodies, featuring smooth piano riffs and heavy synth drops. The song's structure includes calming verses transitioning into energetic drops, creating an electrifying yet relaxing atmosphere. It has been praised for its ability to transport listeners to a warmer, happier place.",https://www.youtube.com/watch?v=AcwyvOkS9BA
Rush Over Me,Melodic Bass,"Seven Lions, Illenium, Said the Sky, Haliene","A 135 BPM, 4/4 melodic dubstep track in C major, featuring ethereal vocals, atmospheric synths, and emotive drops, blending dubstep, trance, and future bass elements. Released in 2016, it charted at number 50 on the Billboard Hot Dance/Electronic Songs chart. In 2021, released a trance remix as part of his '1999' EP, reimagining the original with classic trance elements.",https://www.youtube.com/watch?v=nw2qYEqRLa4
Fortress,Future Bass,"Illenium, Joni Fatora","A 3:24 track in F major, 142 BPM, 4/4 time, featuring ethereal vocals over warm synths and subtle percussion, blending melodic dubstep with ambient elements. Critics note its emotional depth and cinematic build, with one reviewer highlighting its ""dreamy, floating-in-space atmosphere"" and ""euphoric and emotional"" drop. A remix by Seven Lions transforms it into an uplifting trance anthem.",https://www.youtube.com/watch?v=5auyUSI6as4
Soft Spot,Alt R&B/Pop,keshi,"Mid-tempo 106 BPM track in B major, 3:24 duration, 4/4 time signature, featuring warm electric guitar strums, soft piano melodies, and subtle programmed drums. Breathy falsetto vocals convey emotional vulnerability, exploring themes of love, self-doubt, and personal growth. Noted for its romantic, dreamy, and groovy atmosphere, reminiscent of autumn walks. Released as part of the album ""Requiem, "" it showcases a departure from the artist's usual introspective style,",https://www.youtube.com/watch?v=1GFpjG_5ZV4
UNDERSTAND,Alternative/Pop,keshi,"A 2:30 track in B Major 1B, 131 BPM, 3/4 time signature, featuring warm guitar, airy falsetto, and subtle programmed drums, creating an intimate, contemplative atmosphere. Critics highlight its minimalistic production and emotional depth, with one reviewer noting it as ""one of the most beautiful tracks in this album and certainly one of the best songs he made.""",https://www.youtube.com/watch?v=6DcUnqZqTvI
LIMBO,Alt R&B/Pop,keshi,"Mid-tempo 90 BPM track in C# minor, 3:32 duration, blending lo-fi hip-hop beats with dreamy guitar and piano, creating an introspective atmosphere. Lyrics explore self-doubt and identity, resonating with listeners navigating personal uncertainty. Critics highlight its fusion of genres and emotional depth, noting its appeal to fans of alternative R&B and indie pop. The song has garnered significant streaming success, reflecting its widespread resonance.",https://www.youtube.com/watch?v=ssIiBm0ORuI
Say,R&B/Pop,keshi,"Upbeat 149 BPM track in G major, blending alt-R&B with city-pop influences; features warm guitar, atmospheric synths, soft percussion; smooth falsetto vocals; introspective lyrics about unspoken emotions and longing; co-produced by Elie Rizk, Malay, Imad Royal; released July 2024 as lead single from 'Requiem' album; accompanied by cinematic Seoul-filmed music video.",https://www.youtube.com/watch?v=sI97pJcyeOs
beside you,Alt R&B/Indie,keshi,"A breezy pop track co-produced with Madeon, featuring melancholic acoustic guitar plucks, soft pads, and airy falsetto vocals. Released in April 2021, it quickly amassed over 3 million streams in three days, marking a significant debut. The song's intimate production and relatable themes of love and longing have resonated with listeners, solidifying its place in contemporary R&B-pop.",https://www.youtube.com/watch?v=mMYfOB_rzac
2 soon,Lo-fi/Alt R&B,keshi,"Mid-tempo track in C# minor, 3:26 duration, 4/4 time signature, featuring warm guitar, airy falsetto vocals, and programmed drums. Released August 21, 2018, as lead single from debut EP ""The Reaper."" Live performances often include remixed climaxes and new intros. Resonates with listeners through themes of regret and longing.",https://www.youtube.com/watch?v=LKZyp2cSAy4
like i need u,Lo-fi/Alt R&B,keshi,"120 BPM track in F major, 4/4 time signature, 3:02 duration; features warm guitar, airy falsetto, programmed drums, sub-bass, lo-fi sheen; explores unreciprocated love, longing, vulnerability; resonated with listeners, becoming 's breakout hit.; layered textures; tasteful automation; tight low‑end management; polished master",https://www.youtube.com/watch?v=40QXPac2sQM
IT'S YOU,R&B/Pop,"Max, keshi","A 2:53 track in D major at 90 BPM, featuring warm falsetto vocals and a deep, soulful lower register, accompanied by rhythmic acoustic guitar and subtle electronic elements. The song's structure includes verses, a chorus, and a bridge, creating an intimate atmosphere that highlights the effortless nature of love. Listeners have praised its emotive melodies and poignant lyrics, noting its blend of pop and R&B influences.",https://www.youtube.com/watch?v=zWxuc8L0W_Y
Bodies,Alternative/R&B,keshi,"Mid-tempo 109 BPM track in F# minor, blending alternative R&B, indie pop, and lo-fi elements. Features soft guitar riffs, ambient synths, subtle percussion, and breathy falsetto vocals. Lyrically explores themes of love, detachment, and the transient nature of human connections. Described as a hauntingly beautiful song that captivates listeners with its dreamy yet melancholic atmosphere. .ng",https://www.youtube.com/watch?v=hWpziGEcZPA
drunk,Alternative R&B,keshi,"Mid-tempo 105 BPM track in E major, 4/4 time signature, 3:47 duration, featuring soft acoustic guitar strumming, subtle piano, and emotive falsetto vocals. Lyrically, it delves into themes of loneliness and introspection, contrasting social revelry with personal solitude. Critics praise its raw emotional depth and minimalist production, highlighting its resonance with listeners navigating complex relationships.",https://www.youtube.com/watch?v=4HLumkaPcCI
Dream,Indie/Alt R&B,keshi,"A 3:30 track in D Major at 75 BPM, featuring sparse piano motifs and ethereal vocals, creating a dreamy atmosphere. The song delves into themes of nostalgia and longing, portraying the struggle of moving on from a past relationship while grappling with idealized memories that haunt the present. The production is lush yet open, with intentional piano melodies that complement the vocals without overpowering them. The song's structure is simple yet effective, with concise lyrics that convey deep",https://www.youtube.com/watch?v=QxEYJTsk2EE
Night,Alt R&B,keshi,"A haunting 3-minute track in D minor, 103 BPM, featuring syncopated percussion, 808s, and atmospheric strings, conveying themes of insomnia, anxiety, and emotional turmoil. Listeners praise its visceral vocals and evocative production, noting its ability to evoke deep emotional responses. The song's introspective lyrics and compelling instrumentation have resonated with audiences, making it a standout piece in the artist's repertoire.",https://www.youtube.com/watch?v=j5JeqNAnpVE
Texas,Alternative/Pop,keshi,"A nostalgic track featuring warm acoustic guitar layers, subtle percussion, and emotive vocals, blending lo-fi elements with a fuller instrumental arrangement. The song is in A major, with a tempo of 80 BPM and a 4/4 time signature. It explores themes of longing and self-discovery, reflecting on personal growth and the desire to return to one's roots. The production amplifies these themes, allowing the artist's voice to shine with intensity and emotional depth.",https://www.youtube.com/watch?v=KE8c23r9PLI
Like That,Alt R&B/Pop,keshi,"Upbeat R&B track features smooth falsetto vocals over warm guitar plucks and airy synths, set in a 4/4 time signature with a tempo of 90 BPM. Lyrically, it delves into themes of desire and intimacy, capturing the excitement and carefree nature of a romantic relationship. The song's production is characterized by its lo-fi sheen, creating an intimate atmosphere that resonates with listeners. Critics have noted its blend of lo-fi R&B vibes with intimate storytelling, creating a laid-back yet",https://www.youtube.com/watch?v=zIrtq7VlJtg
B.Y.S.,Alternative/Indie,keshi,"Mid-tempo 2:45 track in C# minor, 4/4 time, features warm falsetto vocals over lo-fi guitar strums and subtle programmed drums, creating an intimate, melancholic atmosphere. The song's narrative explores unreciprocated love, with lyrics expressing devotion despite emotional turmoil. The accompanying music video portrays a bank heist with an ambiguous twist, symbolizing the complexities of one-sided affection.",https://www.youtube.com/watch?v=2A_jsFJ5DFU
Always,Indie/Alt R&B,keshi,"A mellow R&B track featuring smooth falsetto vocals, gentle electric piano, and live-played guitar solos, delving into themes of love, loss, and regret. The song's structure is characterized by a steady tempo and a relaxed groove, creating an intimate atmosphere. Critics highlight its introspective lyrics and cohesive production, noting its ability to evoke deep emotional resonance.",https://www.youtube.com/watch?v=CgfBfZQ3ZBo
Right Here,Alt R&B/Pop,keshi,"Mid-tempo track in C# minor, 4/4 time signature, approximately 80 BPM; features warm electric guitar, lo-fi trap beats, and emotive falsetto vocals; introspective lyrics explore themes of longing and unresolved emotions; production blends acoustic elements with electronic textures, creating a moody, atmospheric soundscape; received praise for its heartfelt delivery and innovative fusion of genres.",https://www.youtube.com/watch?v=dCzZFsoA2C8
Skeletons,Indie/Lo-fi R&B,keshi,"80 BPM, D major, 4/4 time signature, 2:32 duration; lo-fi indie track blending warm acoustic guitar with subtle synths and trap-inspired beats; introspective lyrics exploring mental health struggles and self-doubt; production by NOVA WAV; received praise for its emotional depth and relatability; noted for its melancholic yet calming atmosphere.",https://www.youtube.com/watch?v=2U5wNk-fbew
Blue,Indie/Alt R&B,keshi,"A melancholic track blending acoustic guitar with lo-fi beats, featuring introspective vocals and a subdued tempo, reflecting on personal transformation and the bittersweet nature of change.; focused arrangement; clear motif development; dynamic contour with defined peaks; layered textures; tasteful automation; tight low‑end management; polished master",https://www.youtube.com/watch?v=9-M5AuNBQPo
Bandaids,Indie R&B,keshi,"A melancholic lo-fi hip-hop track blending warm guitar strums with airy falsetto vocals, set in a 4/4 time signature at 80 BPM, featuring subtle programmed drums and a lo-fi sheen; explores themes of heartbreak and emotional vulnerability.; layered textures; tasteful automation; tight low‑end management; polished master",https://www.youtube.com/watch?v=JKCneM3C8R8
D (Half Moon),Alt R&B,"DEAN, Gaeko","A soulful R&B track featuring smooth falsetto vocals, airy trip-hop beats, and jazzy piano chords, complemented by a rap bridge; its melancholic mood and introspective lyrics explore themes of love and heartbreak; released in 2016 as part of the mini-album ""130 mood: TRBL""; accompanied by a music video directed by Tiger Cave, featuring dream-like sequences; received positive reviews for its inventive melody and emotional depth.",https://www.youtube.com/watch?v=eelfrHtmk68
instagram,Alt R&B,DEAN,"Mid-tempo 94 BPM R&B track in G# major, 4/4 time signature, 4:15 duration, featuring warm guitar, airy falsetto, programmed drums, sub-bass, lo-fi sheen, introspective lyrics on social media-induced isolation, black-and-white music video depicting artist in empty warehouse, black goo symbolizing overwhelming digital information, acclaimed for relatable themes, topped South Korea's Gaon Digital Chart, peaked at number two on Billboard's K-pop Hot 100, sold over 2.5 million downloads, earned Best",https://www.youtube.com/watch?v=afE-qZiJONo
Bonnie & Clyde,R&B/Soul/Alt Pop,DEAN,"Mid-tempo R&B track in B minor, 4/4 time, approximately 80 BPM, featuring smooth falsetto vocals, crisp trap-influenced beats, and atmospheric synths. Lyrically, it explores themes of passionate, rebellious love, drawing parallels to the infamous duo. The accompanying music video employs a vibrant, surreal aesthetic reminiscent of 1990s psychedelia, enhancing the song's intense, emotive atmosphere.",https://www.youtube.com/watch?v=3ze6drtwiE4
Pour Up,Hip Hop/R&B,"DEAN, Zico","A sultry R&B track featuring smooth falsetto vocals, deep sub-bass, and minimalist synths, with a tempo of 90 BPM in F# minor, 4/4 time signature, and a duration of 3 minutes; lyrics explore themes of escapism and loneliness through partying and intoxication; music video features black-and-white visuals of a broken airplane and a mysterious woman, enhancing the song's haunting atmosphere.",https://www.youtube.com/watch?v=1GwtBLd5POY
I'm Not Sorry,R&B/Pop,"DEAN, Eric Bellinger","A 3:29 track in D# minor at 129 BPM, featuring warm synths, layered vocals, and subtle risers, blending 90s R&B with modern hip-hop influences. The song's production includes dense synths, layered vocals, and risers, creating a menacing composition that matches the artists' larger-than-life lyrics. feedbacker.blog The track's popularity is evident, with the music video amassing over 3 million views on YouTube.",https://www.youtube.com/watch?v=wzvRxguTPa4
What 2 Do,Alt R&B,"DEAN, Crush, Jeff Bernat","Slow-tempo R&B ballad in C minor, 70 BPM, 4/4 time, 3:30 duration, featuring warm piano, subtle programmed drums, and smooth bassline. Vocals by, , and blend seamlessly, creating a cohesive, mellow atmosphere. Lyrically explores post-breakup confusion and longing, with a music video depicting a woman wandering through a snowy landscape, enhancing the song's introspective mood.",https://www.youtube.com/watch?v=gMrYfJGm7kM
Come Over,Indie R&B,"DEAN, Baek Yerin","A 2017 R&B duet featuring sultry male vocals and ethereal female harmonies, underpinned by a deep, resonant bassline and a minimalist, jazzy piano motif. The track's structure is straightforward, with verses building into a compelling chorus, creating an intimate atmosphere. Lyrically, it explores themes of longing and unspoken desire, set against a backdrop of a cold, dark night. The song's production is noted for its warmth and emotional depth, making it a standout in the artists'",https://www.youtube.com/watch?v=D2sMg8mCHds
Dayfly,R&B/Soul,"DEAN, Sulli, Rad Museum","A haunting R&B track featuring smooth falsetto vocals, warm electric guitar, and subtle lo-fi hip-hop beats, enhanced by violin accents and ethereal whistles; lyrics explore transient relationships and self-reflection, with a music video depicting a surreal, repetitive cycle of destruction and rebirth.",https://www.youtube.com/watch?v=Z3W0jKcv1SU
Love,Alt R&B,DEAN,"Mid-tempo R&B duet featuring airy falsetto vocals and sultry harmonies, blending smooth guitar riffs with subtle electronic beats; lyrics explore themes of and consent, with a minimalist black-and-white music video set on a vintage airplane.; layered textures; tasteful automation; tight low‑end management; polished master",https://www.youtube.com/watch?v=JEIcjRj7S9g
FANXY CHILD,Hip Hop/R&B,"ZICO, DEAN, Crush, Penomeco, Millic, Stay Tuned","Slow-tempo hip-hop track in C# minor, 80 BPM, 4/4 time, 3:30 duration, featuring warm guitar riffs, airy falsetto vocals, and lo-fi sheen. Lyrically introspective, exploring personal struggles and self-discovery. Notable for its melancholic rhythm and emotive delivery, reflecting the artists' individual journeys. The accompanying music video enhances the song's themes with its aesthetically pleasing visuals.",https://www.youtube.com/watch?v=fmAKRK1Aq60
Bermuda Triangle,Hip Hop/R&B,"ZICO, Crush, DEAN","Dark, minimalistic synths and deep basslines underscore rapid-fire rapping and smooth falsetto vocals, creating an intense atmosphere. The track features a dynamic structure with alternating rap verses and melodic segments, highlighting each artist's unique style. The music video complements this with visuals of luxury cars, opulent settings, and symbolic imagery, enhancing the song's themes of success and dominance.",https://www.youtube.com/watch?v=56XiKr44a9U
Put My Hands On You,Alt R&B/Electro,"DEAN, Anderson .Paak","A sultry R&B track blending deep house, hip-hop, and soul, featuring smooth falsetto vocals, syncopated programmed drums, and a warm sub-bassline. The collaboration between and showcases their seamless fusion of genres, creating a laid-back groove that has resonated with listeners worldwide. The track's production, handled by esta. and Mr. Carmack, adds a lo-fi sheen, enhancing its intimate atmosphere. The accompanying music video, directed by Oui, complements the song's mood with its artistic",https://www.youtube.com/watch?v=jlM8zQ2PwbM
Ctrl,Neo-Soul/R&B,"DEAN, FKJ","Fast-paced club track blending R&B and house, featuring off-kilter keys and skittering cymbals. 's emotionally charged vocals express complex feelings of betrayal, anger, and longing post-breakup. Co-produced by, T.Y, and No Identity, released as part of the '3:33' project on November 29, 2024. bandwagon.asia",https://www.youtube.com/watch?v=YHJFFK2XT2M
DIE 4 YOU,Alt R&B,DEAN,"Alternative R&B track blending acoustic guitar with layered instrumentation, featuring smooth falsetto vocals and subtle electronic elements; introspective lyrics explore themes of love and longing; released November 18, 2023; received R&B Track of the Year award at 2024 Korean Hip-hop Awards.; focused arrangement; clear motif development; dynamic contour with defined peaks",https://www.youtube.com/watch?v=xrxxALETANY
dashstar*,Bass House,Knock2,"High-energy bass house track with driving 128 BPM tempo, in F# minor key, 4/4 time signature, approximately 3 minutes 30 seconds long. Features pulsating sub-bass, sharp rave stabs, and hypnotic vocal samples. Dynamic drops blend distorted synths with eerie plucks, creating an electrifying atmosphere. Notably remixed by Yellow Claw, adding heavy 808s and frenetic sequences. Gained popularity in 2022, becoming a festival staple.",https://www.youtube.com/watch?v=MgQPSSU1S2s
