title,genre,artists,song_desc,youtube_url
Hearts on Fire,Future Bass,"Illenium, Dabin, Lights",Anthemic future bass track featuring soaring vocals and cinematic drops.,https://www.youtube.com/watch?v=M9BgbM-pAfk
Nightlight,Melodic Bass,Illenium,Atmospheric single marked by dreamy synth melodies and heartfelt lyrics.,https://www.youtube.com/watch?v=2K6UlqKRAkw
In Your Arms,Future Bass,"Illenium, X Ambassadors",Emotional collaboration with soaring vocals and layered melodic bass.,https://www.youtube.com/watch?v=RuJkoJZN1wI
Feel Good,Future Bass/Pop,"Gryffin, Illenium, Daya",Uplifting track merging catchy refrains and an energetic future bass drop.,https://www.youtube.com/watch?v=ysSxxIqKNN0
Don’t Let Me Down (Remix),Future Bass/Remix,"The Chainsmokers, Illenium",Award-winning melodic remix known for cinematic builds and emotional intensity.,https://www.youtube.com/watch?v=UX9lBXkKZpE
Beautiful Creatures,Future Bass,"Illenium, MAX","Blend of lush melodies and stirring vocals, signature uplifting and emotional style.",https://www.youtube.com/watch?v=Iau01-Oe9Jk
Good Things Fall Apart,Future Bass/Pop,"Illenium, Jon Bellion","Highly-streamed ballad about heartbreak, a festival favorite with anthemic energy.",https://www.youtube.com/watch?v=GNWDEnv_Bm8
Ascend,Future Bass/EDM,"Illenium, various collaborators","Title track of the third album, combining uplifting melodies and electronic flourishes.",
Starfall,Melodic Bass,Illenium,"Dreamy, atmospheric melodic bass track from his latest album.",
Reverie,Future Bass,"Illenium, King Deco","Melancholic electronic tune driven by expressive vocals and melodic synths, from his debut album Ashes.",
Rush Over Me,Melodic Bass,"Seven Lions, Illenium, Said the Sky, Haliene","Epic collaboration filled with layered melodies and moving lyrics, a staple in melodic bass sets.",
Fortress,Future Bass,"Illenium, Joni Fatora","Emotional electronic song with evocative vocals and cinematic production, featured on Ashes.",
Soft Spot,Alt R&B/Pop,keshi,"Gentle, emotionally driven track blending lo-fi pop with smooth, dreamy vocals.",https://www.youtube.com/watch?v=4Lmcadu8ghM
UNDERSTAND,Alternative/Pop,keshi,"Reflective, melodic song with soft production and vulnerable lyricism from the album Gabriel.",https://www.youtube.com/watch?v=xI_FMutRZX8
LIMBO,Alt R&B/Pop,keshi,"Laid-back, melancholic vibe describing feeling stuck between states of mind and heart.",https://www.youtube.com/watch?v=ssIiBm0ORuI
Say,R&B/Pop,keshi,Modern R&B cut with lush falsetto and lyrics about honest communication in love.,https://www.youtube.com/watch?v=sI97pJcyeOs
beside you,Alt R&B/Indie,keshi,"Upbeat, romance-themed track mixing crisp guitars and relaxed drum grooves.",(add link)
2 soon,Lo-fi/Alt R&B,keshi,"Melancholic, lo-fi-inspired tune contemplating departures and longing.",(add link)
like i need u,Lo-fi/Alt R&B,keshi,"Signature lo-fi hit, with rich textures and subtle beats underscoring heartfelt lyrics.",(add link)
IT'S YOU,R&B/Pop,"Max, keshi",Emotional pop collaboration about vulnerability and devotion in a relationship.,(add link)
Bodies,Alternative/R&B,keshi,"Down-tempo, introspective song blending intimate storytelling and somber instrumentation.",(add link)
drunk,Alternative R&B,keshi,"Soulful track about escapism and using love as a way to cope with pain, from Always EP.",(add link)
Dream,Indie/Alt R&B,keshi,Atmospheric track from Requiem with dreamy soundscape and introspective lyrics.,(add link)
Night,Alt R&B,keshi,"moody R&B number reflecting nocturnal thoughts and feelings of solitude, from Requiem album.",(add link)
Texas,Alternative/Pop,keshi,"Reflective, melodic ode to his roots with a warm, nostalgic vibe, from Requiem album.",(add link)
Like That,Alt R&B/Pop,keshi,"Minimalist yet catchy groove about romance and mutual attraction, from Requiem.",(add link)
B.Y.S.,Alternative/Indie,keshi,Confessional indie-R&B single with textured guitars and introspective mood.,(add link)
Always,Indie/Alt R&B,keshi,Ethereal cut about eternal love and vulnerability in relationships.,(add link)
Right Here,Alt R&B/Pop,keshi,Sincere love song with drifting guitars and laid-back delivery.,(add link)
Skeletons,Indie/Lo-fi R&B,keshi,"Darker, introspective alt-R&B track exploring inner emotions and personal struggles.",(add link)
Blue,Indie/Alt R&B,keshi,"Emotional, mellow song with soft vocals and minimalist instrumentation.",(add link)
Bandaids,Indie R&B,keshi,"Tender ballad about emotional healing and relationship scars, from EP of same name.",(add link)
D (Half Moon),Alt R&B,"DEAN, Gaeko","Moody, soulful track defined by DEAN’s airy vocals and Gaeko’s rap, a modern R&B standout.",https://www.youtube.com/watch?v=sO90ZzWoRi8
instagram,Alt R&B,DEAN,"Melancholic single reflecting on loneliness and social media, featuring mellow R&B melodies.",https://www.youtube.com/watch?v=Q2Jk3y0-pIo
Bonnie & Clyde,R&B/Soul/Alt Pop,DEAN,"Cinematic R&B cut with noir themes, storytelling lyrics, and slick pop crossover energy.",https://www.youtube.com/watch?v=ggkYkOurAlE
Pour Up,Hip Hop/R&B,"DEAN, Zico","Bass-heavy, trap-influenced single with DEAN’s melodic hooks and Zico’s energetic verses.",https://www.youtube.com/watch?v=WJPLbGbRtQ8
I'm Not Sorry,R&B/Pop,"DEAN, Eric Bellinger",Debut English single; a breakup anthem blending smooth R&B vocals with American soul influences.,https://www.youtube.com/watch?v=1n7BpG4Evnw
What 2 Do,Alt R&B,"DEAN, Crush, Jeff Bernat","Elegant, atmospheric R&B combining soft vocals and lush harmonies from three international acts.",https://www.youtube.com/watch?v=QvJjkeSH8f8
Come Over,Indie R&B,"DEAN, Baek Yerin","Lush, emotionally complex ballad about longing, with gentle instrumentation and sweet harmonies.",https://www.youtube.com/watch?v=eiwPS9y9Q5U
Dayfly,R&B/Soul,"DEAN, Sulli, Rad Museum","Soft, jazzy R&B with mellow vocal interplay and poetic lyrics reflecting ephemerality.",https://www.youtube.com/watch?v=VDzjs4c69bA
Love,Alt R&B,DEAN,"Upbeat, groovy cut exploring infatuation and uncertainty with layered electronic production.",https://www.youtube.com/watch?v=pGGi5d6QYWg
FANXY CHILD,Hip Hop/R&B,"ZICO, DEAN, Crush, Penomeco, Millic, Stay Tuned","High-profile crew track blending hip hop and R&B, with DEAN’s signature melodic style shining.",https://www.youtube.com/watch?v=NsRKoH6T8KM
Bermuda Triangle,Hip Hop/R&B,"ZICO, Crush, DEAN","Hazy, rhythm-driven collaboration that defined a new wave of Korean hip hop & R&B.",https://www.youtube.com/watch?v=UAYjW4nAR_U
Put My Hands On You,Alt R&B/Electro,"DEAN, Anderson .Paak","Groovy, cross-continental collaboration with quirky funk influences and DEAN’s expressive vocals.",https://www.youtube.com/watch?v=wUFFsROVGQE
Ctrl,Neo-Soul/R&B,"DEAN, FKJ","Recent release with relaxed, jazz-influenced neo-soul production, demonstrating DEAN’s growth.",https://www.youtube.com/watch?v=4jXLVSQYBsc
DIE 4 YOU,Alt R&B,DEAN,Emotionally raw single driven by haunting melodies and minimal R&B beats.,https://www.youtube.com/watch?v=w0tJ4LXw2yU
dashstar*,Bass House,Knock2,Viral bass house anthem marked by explosive drops and infectious dancefloor energy.,https://www.youtube.com/watch?v=58ml5b_On6w
feel U luv Me,House/Bass Trap,Knock2,"Upbeat, melodic tune blending house grooves with Knock2’s signature energetic twist.",(add link)
come aliv3,Trap/Future Bass,"RL Grime, Knock2, Abi Flynn","Dark, dynamic collaboration with RL Grime, known for cinematic synths and club-ready builds.",(add link)
"crank the bass, play the muzik",Bass House,Knock2,High-energy club track with pounding bass and shout-along hooks.,(add link)
shake!the!city!,House/Trap,"Knock2, Naliya","Party-focused, vocal-driven banger with festival energy.",(add link)
ready 2,Bass House,Knock2,"Fast, electrifying cut, typical of Knock2’s signature high-tempo style.",(add link)
room202,House/Bass,Knock2,"Title track from the EP, encapsulating his live show’s party atmosphere and relentless groove.",(add link)
i promise,Trap/Electronic,ISOxo,"Emotional, synth-heavy banger, reflective of ISOxo’s unique melodic trap sound.",https://www.youtube.com/watch?v=E3Kls5K8hjc
how2fly,Trap/Bass,ISOxo,"Atmospheric, experimental trap highlighting ISOxo’s sound design.",(add link)
PRESSURE,Trap/DnB,ISOxo,"Intense, rapid-fire single blending trap percussion with drum & bass influences.",(add link)
NIGHTREALM,Trap/Electronic,ISOxo,"Evocative, theatrical track and namesake of ISOxo’s acclaimed debut EP, showcasing his live stage energy.",(add link)
STARsound (pt2),Trap,ISOxo,"Euphoric, high-BPM favorite with soaring synths and dynamic drops.",(add link)
dontstopme!,Trap/Electronic,ISOxo,"Energetic, forward-pushing trap record, loved for its driving percussion and relentless momentum.",(add link)
Radial,Bass/Trap,"Knock2, ISOxo","Hard-hitting trap club anthem, their iconic collaboration featuring wild drops and festival crowd appeal.",(add link)
KGM(irl)*,Trap/Electronic,ISOxo,"Standout from ISOxo’s “kidsgonemad!” album, noted for its emotional chord progressions and experimental drops.",(add link)
Summer's Gone,Melodic Bass/EDM,"Dabin, Frosttop, Tiffany Day","Upbeat melodic bass track with lush drops and emotive vocals, from the album ""Aura Park"" (2025).",https://www.youtube.com/watch?v=S6ii7d5FbxE
In The End,Melodic Bass/EDM,"Dabin, Said The Sky, Clara Mae","Anthemic, emotionally charged collaboration balancing heartfelt lyrics and soaring synths.",(add link)
Nothing At All,EDM/Alternative,"Dabin, Grabbitz",Melancholy yet uplifting single blending airy vocals and Dabin’s guitar-driven melodic style.,https://www.youtube.com/watch?v=J5-bTIqLXCM
Holding On,Melodic Bass,"Dabin, Lowell","Emotional, vocal-driven bass track with a cinematic, uplifting atmosphere.",(add link)
Alive,Melodic Bass/Pop,"Dabin, RUNN",Uplifting blend of melodic bass and pop influences with soaring choruses and dreamy guitar work.,(add link)
Worlds Away,Melodic Bass/Pop,"Dabin, Trella","Signature euphoric bass anthem combining heartfelt lyrics with bright, cinematic synth layers.",https://www.youtube.com/watch?v=VZEfQv4jG_U
Hearts on Fire,EDM/Melodic Bass,"Illenium, Dabin, Lights","Massive, festival-favorite collab with epic drops, powerful vocals, and dynamic production.",https://www.youtube.com/watch?v=cpG1OfYX9I4
Drown,EDM/Future Bass,"Dabin, Mokita","Melodic, introspective track featuring gentle guitar and Mokita’s soothing vocals.",(add link)
Not Enough,Melodic Bass/Pop,"Dabin, Stephanie Poetri",Introspective love song with soaring vocals and gently layered synths.,(add link)
Till I Live,EDM/Pop,Dabin,"Energetic single with atmospheric production, emotional lyrics, from Dabin’s most recent releases.",https://www.youtube.com/watch?v=9snUzJ75odM
I See You,Melodic Bass/EDM,"Dabin, Nurko, Skylar Grey","Collaborative future bass anthem blending Skylar Grey’s vocal power with warm, cinematic bass elements.",(add link)
Photographs,Melodic EDM,"Dabin, nokio","Sentimental, melodic cut centering on nostalgic themes with lush electronic instrumentation.",(add link)
REC,Hip Hop/Electronic,Dabin.kr,"Energetic, experimental single mixing hip-hop influences, dynamic synths, and creative arrangement.",https://www.youtube.com/watch?v=IcPQwFp9ToU
Saucer,Alternative/Electronic,Dabin.kr,"Offbeat, groovy tune from the ""senseS"" EP (2025), highlighting inventive sound design.",https://www.youtube.com/watch?v=DXkNFZqT4ig
.KR,Alt/Electronic,Dabin.kr,"Unique, playful electronic track, title referencing Dabin’s Korean roots, from his 2025 “senseS” EP.",(ad
Clarity,"EDM/Pop, Progressive","Zedd, Foxes","Grammy-winning breakout hit, features soaring vocals and euphoric electronic builds.",https://www.youtube.com/watch?v=IxxstCcJlsc
Stay,Pop/Electronic,"Zedd, Alessia Cara",Chart-topping dance-pop track noted for catchy hooks and dynamic synth production.,https://www.youtube.com/watch?v=yWEK4v9AVKQ
The Middle,Pop/Electronic,"Zedd, Maren Morris, Grey","Crossover smash with infectious chorus, blending pop, country, and dance elements.",https://www.youtube.com/watch?v=M3mJkSqZbX4
Beautiful Now,EDM/Progressive,"Zedd, Jon Bellion","Uplifting, melodic anthem featuring energetic drops and Jon Bellion’s distinctive vocals.",https://www.youtube.com/watch?v=n1a7o44WxNo
Spectrum,Electro House,"Zedd, Matthew Koma",Classic electro house track driven by lush synth layers and emotive lyrics.,https://www.youtube.com/watch?v=IsuVMdnF8A0
I Want You To Know,EDM/Pop,"Zedd, Selena Gomez","Dance-pop hit featuring bright, anthemic melodies and Selena Gomez’s expressive vocals.",https://www.youtube.com/watch?v=X46t8ZFqUB4
Stay the Night,EDM/Pop Rock,"Zedd, Hayley Williams (Paramore)",Dancefloor favorite merging rock-style vocals with progressive house soundscapes.,https://www.youtube.com/watch?v=i-gyZ35074k
Break Free,EDM/Pop,"Ariana Grande, Zedd","High-energy collaboration, fusing Grande’s powerhouse vocals with Zedd’s EDM sensibility.",https://www.youtube.com/watch?v=L8eRzOYhLuw
Starving,Pop/Dance,"Hailee Steinfeld, Grey, Zedd",Radio and streaming hit blending pop melodies and light dance grooves.,https://www.youtube.com/watch?v=xwjwCFZpdns
Happy Now,EDM/Pop,"Zedd, Elley Duhé","Bittersweet, melodic single balancing introspective lyrics and bright electronic production.",https://www.youtube.com/watch?v=KfXvjxbRhZk
Good Thing,Pop/Electronic,"Zedd, Kehlani","Smooth, contemporary pop-dance blend with empowering lyrics and catchy refrains.",https://www.youtube.com/watch?v=6UARM4q7hHU
Inside Out,EDM/Pop,"Zedd, Griff","Bright, energetic dance-pop single led by soaring vocals and upbeat synths.",https://www.youtube.com/watch?v=iGJUc4gHb4M
Addicted to a Memory,Electro House,"Zedd, Bahari","Album cut featuring high-energy, festival-ready sound with Bahari’s dreamy vocals.",https://www.youtube.com/watch?v=EZN1x6Ckto0
365,Pop/Electronic,"Zedd, Katy Perry","Catchy, futuristic dance-pop track with playful lyrics and Perry’s distinctive voice.",https://www.youtube.com/watch?v=yWEK4v9AVKQ
True Colors,Electronic Pop,"Zedd, Kesha (album version)","Title track and festival favorite, builds from soft emotional melodies into euphoric drops.",https://www.youtube.com/watch?v=egDPhh2rGAs
Lost at Sea,EDM/Progressive,"Zedd, Ryan Tedder","Sweeping, uplifting collaboration with OneRepublic’s Ryan Tedder delivering powerful vocals.",(add link)
Make You Say,Dance/Pop,"Zedd, Maren Morris, BEAUZ",Recent 2023 single with funky house rhythms and playful back-and-forth vocals.,https://www.youtube.com/watch?v=r3n08NpnAHo
Love Is Gone,Melodic Bass/EDM,"SLANDER, Dylan Matthew",Emotional festival anthem known for soaring vocals and heartbreaking lyrics.,https://www.youtube.com/watch?v=yctQRe--q6c
Walk On Water,Melodic Bass/Pop,"SLANDER, RØRY, Dylan Matthew",Uplifting tune blending pop sensibilities with epic festival-style drops.,https://www.youtube.com/watch?v=NALy88obwr0
Wish I Could Forget,Electronic/Pop,"SLANDER, blackbear, Bring Me The Horizon",Genre-blending hit fusing emotional vocals and dynamic melodic bass with alternative rock influence.,https://www.youtube.com/watch?v=Ry9hn4GkRMM
If Tomorrow Never Happens,Melodic Bass/EDM,"SLANDER, Nikademis, Poo Bear","Hopeful, anthemic single combining emotive lyrics and euphoric drops.",https://www.youtube.com/watch?v=e5yhS-XSOqA
Potions,Melodic Bass,"SLANDER, Said The Sky, JT Roach","Dreamy, uplifting melodic bass collaboration with heartfelt vocals.",https://www.youtube.com/watch?v=GhU9FbdjGLE
Superhuman,Melodic Bass,"SLANDER, Eric Leva",Early career-defining single with inspiring melodies and a powerful message.,https://www.youtube.com/watch?v=7yz5zX8fW9U
All You Need to Know,Progressive EDM,"Gryffin, SLANDER, Calle Lehmann","Dance-pop crossover with uplifting lyrics and bright, festival-ready production.",https://www.youtube.com/watch?v=wXhTHyIgQ_U
First Time,Melodic Bass,"SLANDER, Dylan Matthew","Lush, emotional bass tune with soaring vocal performance.",https://www.youtube.com/watch?v=xtAZQXhLAxI
Your Fault,Melodic Bass,"SLANDER, KALEENA ZANDERS, GONE","Driving, melodic bass track featuring energetic vocals and festival inspiration.",https://www.youtube.com/watch?v=nSA5NCup-sE
Broken Hearted,Melodic Bass,"SLANDER, San Holo, Julia Church",Euphoric bass production with bittersweet lyrics and energetic drops.,https://www.youtube.com/watch?v=nPH-6v8iEnk
Back To U,Future Bass/EDM,"SLANDER, William Black","Euphoric, festival-ready track with uplifting melodies and a big-room sound.",https://www.youtube.com/watch?v=ZFP3DFsyeho
FEELING GUD,Pop/Electronic,"SLANDER, Matthew Santos","Infectious, vocal-led single merging future bass and mainstream pop.",https://www.youtube.com/watch?v=Fz_-AI1xHlE
Higher Power,House/Electronic,"Gryffin, Lavern, AR/CO","Uplifting, festival-ready dance track with soaring vocal hooks and energetic grooves, new for 2025.",https://www.youtube.com/watch?v=lrMKKcaQOOg
Hard Time Lover,Indie Electronic,"Gryffin, Chance Peña","Introspective, emotional cut blending indie and electronic styles; heartfelt lyrics by Peña.",https://www.youtube.com/watch?v=e1Klhcekv-Y
In My Head,House/Electronic,"Gryffin, Kaskade, Nu-La","Melodic, anthemic collab merging immersive house soundscape and crisp pop vocals.",https://www.youtube.com/watch?v=w1NLA8qC1OM
Tie Me Down,Pop/Electronic,"Gryffin, Elley Duhé","Signature pop-EDM anthem, uplifting melodies, major streaming hit and mainstay in Gryffin’s live sets.",(add link)
Woke Up in Love,Dance Pop,"Gryffin, Kygo, Calum Scott","Euphoric, emotional single blending melodic house and heartfelt vocal performance from Calum Scott.",(add link)
Feel Good,Future Bass/Pop,"Gryffin, Illenium, Daya","Platinum-certified radio and festival favorite, blending warm synths, catchy vocals and bright drops.",(add link)
Nobody Compares To You,Pop/Electronic,"Gryffin, Katie Pearlman","Lush, pop-dance single celebrated for catchy hooks and emotive lyrics, RIAA Gold certified.",(add link)
Body Back,Pop/Electronic,"Gryffin, Maia Wright","Energetic, vocal-focused anthem, uplifting chorus and dynamic production.",(add link)
All You Need To Know,Progressive EDM,"Gryffin, SLANDER, Calle Lehmann","Euphoric progressive house track, big vocal hooks, massive festival appeal.",https://www.youtube.com/watch?v=wXhTHyIgQ_U
Forever,Pop/Electronic,"Gryffin, Elley Duhé",Melodic dance single with soaring vocals and an emotionally uplifting message.,(add link)
Cry,Pop/Electronic,"Gryffin, John Martin","Reflective, emotionally charged cut with catchy pop sensibilities and dynamic dance beats.",(add link)
Just For A Moment,Pop/Electronic,"Gryffin, Iselin","Atmospheric, heartwarming track balancing dance rhythms and soft, emotional vocals.",(add link)
Desire (Remix),Deep House,"Years & Years, Gryffin","Gryffin’s breakthrough remix, turning the original into a deep, infectious, and dancey anthem.",(add link)
Scandalous,House/Pop,"Gryffin, Tinashe","Seductive, groove-driven house single with sultry vocals from Tinashe, latest club-ready hit.",(add link)
Whole Heart,Future Bass/Pop,"Gryffin, Bipolar Sunshine","Inspirational, euphoric single combining lush synth soundscapes and soulful vocals.",(add link)
Best Is Yet To Come,Pop/Electronic,"Gryffin, Kyle Reynolds","Hopeful, inspiring modern pop-dance tune with catchy vocal layers, released on ""Alive.""",https://www.youtube.com/watch?v=FaA1-weqWgg
Keep U Safe,Melodic Bass,"ARMNHMR, Liv Miraldi","Dreamy, emotional melodic bass track with heartfelt vocals and lush synth layers.",(add link)
Gone,Electronic/Pop,"ARMNHMR, KELIZA",Emotional electronic ballad blending soaring vocals with festival-ready drops.,(add link)
My Eyes,Progressive EDM,ARMNHMR,"Instrumental-driven, euphoric dance cut with soaring melodies—one of their recent singles.",(add link)
Someone to Forget,Melodic EDM,"ARMNHMR, Lights",Anthemic collaboration pairing heartfelt lyrics and pop-EDM flair—highly streamed single.,https://www.youtube.com/watch?v=4eSuxmAZF3U
Falling Apart,Melodic Bass,"ARMNHMR, RUNN","Melancholic festival anthem with emotional lyrics and lush, dynamic production.",(add link)
Lifeline,Future Bass,"ARMNHMR, Trella",Uplifting and hope-filled collaboration with euphoric drops and bright vocals.,(add link)
Saving Lives,Melodic EDM,"ARMNHMR, Zack Gray","Motivational, high-energy track with vivid synthscapes and catchy vocal hooks.",(add link)
Silver Lining,Melodic Bass,"ARMNHMR, KARRA","Optimistic single with powerful melodies and soulful, radio-ready vocals.",(add link)
Here With Me,Electronic/Pop,"ARMNHMR, Nevve","Atmospheric and longing, driven by emotive vocals and propulsive electronic beats.",(add link)
Forever Young,Progressive EDM,"ARMNHMR, Melanie Fontana","Euphoric, uplifting anthem with cinematic soundscapes and big-room festival energy.",(add link)
Fragile,Melodic Bass,"ARMNHMR, Melanie Fontana","Vulnerable and introspective, blending gentle piano with catchy, danceable hooks.",(add link)
Won't Make A Sound,Dance/Pop,"ARMNHMR, Pepper Rose","Energetic and catchy, mixing pop vocals with bright, festival-ready melodic drops.",(add link)
Everybody Feels,Melodic Bass,"ARMNHMR, Maazel, Zack Gray",Popular single highlighting emotional vocals and ARMNHMR’s signature melodic production.,(add link)
Oceans,Melodic Bass,"ARMNHMR, NKOLO","Emotional and lush, featuring bright synths and heartfelt lyricism about longing.",(add link)
Strangers,Melodic Bass/EDM,"Seven Lions, Myon & Shane 54, Tove Lo","Breakout melodic dubstep anthem known for lush production and Tove Lo’s vocals, defining the early Seven Lions sound.",https://www.youtube.com/watch?v=Ai7c8JlRpeg
Worlds Apart,Melodic Dubstep/Trance,"Seven Lions, Kerli","Signature, emotive fusion of trance and bass with enchanting vocals—centerpiece of “Worlds Apart” EP.",https://www.youtube.com/watch?v=87j81_aPWsE
Don’t Leave,Melodic Dubstep/Pop,"Seven Lions, Ellie Goulding","Dreamy, uplifting collaboration featuring Goulding’s airy vocals and festival-sized drops.",https://www.youtube.com/watch?v=4ZzvA6d5kV4
Calling You Home,Melodic Bass/Trance,"Seven Lions, Runn","Uplifting, melodic fan favorite with Runn’s soaring vocals and a distinctly trance-inspired drop.",https://www.youtube.com/watch?v=LU7jPPQyOCY
Rush Over Me,Melodic Bass/Dubstep,"Seven Lions, Illenium, Said The Sky, Haliene",Epic collaboration – a festival staple blending cinematic builds and Haliene’s passionate vocals.,https://www.youtube.com/watch?v=2b3qNpnxGsA
First Time,Melodic Bass/EDM,"SLANDER, Dabin, Seven Lions, Dylan Matthew","Modern melodic bass anthem, beloved for emotional energy and festival appeal.",https://www.youtube.com/watch?v=7yz5zX8fW9U
Island,Melodic Bass/Trance,"Seven Lions, Wooli, Trivecta, Nevve","Dreamy, introspective anthem—ethereal vocals from Nevve over lush, layered production.",https://www.youtube.com/watch?v=TA5rOhvlcJg
Ocean,Progressive Trance,"Seven Lions, Jason Ross, Jonathan Mendelsohn","Euphoric, progressive collaboration with soaring melodies and Mendelsohn’s emotional vocals.",https://www.youtube.com/watch?v=soDCqJbWbUw
Higher Love,Melodic Bass/Trance,"Seven Lions, Jason Ross, Paul Meany","Lush, festival-sized track merging melodic elements with cinematic vocals.",https://www.youtube.com/watch?v=bFQ_KPzWc4o
See The End,Progressive Trance,"Above & Beyond, Seven Lions, Opposite the Other","Festival hit—trademark uplifting melodies and euphoric vocal themes, blending trance and melodic dubstep.",https://www.youtube.com/watch?v=Fvdxz05kL6U
Dreamin’,Psytrance/EDM,"Seven Lions, Fiora","Psytrance-influenced festival hit featuring soaring, anthemic vocals from Fiora.",https://www.youtube.com/watch?v=Je0nJvAyOe0
After Dark,Psytrance/Trance,"Seven Lions, Blastoyz, Fiora","Deep, driving psytrance, expertly blended with Fiora’s ethereal voice.",https://www.youtube.com/watch?v=SdeHzgZguGw
Freesol,Melodic Bass/House,"Seven Lions, Skyler Stonestreet","Uplifting, melodic fusion of bass, trance, and house with motivational lyrics.",https://www.youtube.com/watch?v=rP5tm15vecg
Someday,Melodic Bass/Pop,"Seven Lions, Julia Ross, HALIENE","Modern melodic cut, introspective lyrics and dreamy drops, new release era.",https://www.youtube.com/watch?v=fU7xxB_CuME
Man Down,Trap/Melodic Bass,"Seven Lions, YDG, Bella Renee","Darker, club-leaning side, dynamic basslines, and Bella Renee’s haunting vocals.",https://www.youtube.com/watch?v=pNjyGHZM8JA
Sunshine,Melodic Bass/Pop,"Seven Lions, Wooli, VARGEN",Euphoric melodic bass and bright festival energy; high-profile new collaboration.,https://www.youtube.com/watch?v=xUFoPisODPU
Every Time,Melodic Pop/EDM,"Seven Lions, So Below","Lush emotional soundscape, fusing modern pop hooks with Seven Lions’ signature melodic production.",https://www.youtube.com/watch?v=53fzWl3kudk
Call On Me,Melodic Bass/Pop,"Seven Lions, Vancouver Sleep Clinic","Atmospheric vocals, emotive lyrics, and big-room melodic drops—showcase of his recent sound.",https://www.youtube.com/watch?v=gaebL3_pF9U
Need Your Love,Progressive/Dubstep,"Seven Lions, ILLENIUM, Annika Wells","Big, festival-ready collaboration merging melodic dubstep and progressive uplift.",https://www.youtube.com/watch?v=16yiey_JYdI
Animals,Big Room House/EDM,Martin Garrix,Breakout instrumental hit that became an EDM festival anthem and club staple globally.,https://www.youtube.com/watch?v=gCYcHz2k5x0
